model_name,year,CENTRAL GOA,EASTERN GOA,WESTERN GOA
northerns,1984,0.347597176564346,2.651107722244778e-4,0.6521377126634295
northerns,1985,0.42737441434721624,5.55750692326354e-4,0.5720698349604575
northerns,1986,0.5109211269198664,0.0011327803693494628,0.48794609271078415
northerns,1987,0.5934120540868366,0.0022432029939634694,0.40434474291919986
northerns,1988,0.6295710585881457,0.0023765732693292034,0.3680523681425251
northerns,1989,0.6643005153754169,0.0025041785026680605,0.333195306121915
northerns,1990,0.6973031648301179,0.0026249230152400223,0.30007191215464213
northerns,1991,0.7454947759151103,0.0015523300408315363,0.25295289404405824
northerns,1992,0.7882143794343096,9.078797601234068e-4,0.2108777408055671
northerns,1993,0.8253642664585694,5.258648789091264e-4,0.17410986866252148
northerns,1994,0.7993053624826523,7.729143423179707e-4,0.19992172317502974
northerns,1995,0.7703979303532805,0.0011306387937544812,0.22847143085296492
northerns,1996,0.7386300458545355,0.0016452271989658089,0.25972472694649873
northerns,1997,0.739114596977064,0.0011942352457311475,0.25969116777720475
northerns,1998,0.7395078049067904,8.667623958078779e-4,0.2596254326974018
northerns,1999,0.7398346201900259,6.29029688790246e-4,0.2595363501211839
northerns,2000,0.7126897944650994,3.720641035409235e-4,0.28693814143135976
northerns,2001,0.683809784924169,2.1919633125674302e-4,0.31597101874457423
northerns,2002,0.7731865426487758,1.8557372915002377e-4,0.22662788362207406
northerns,2003,0.8430933353554567,1.5151028091575845e-4,0.15675515436362755
northerns,2004,0.6815057995539845,2.803285736682072e-4,0.31821387187234734
northerns,2005,0.46007689049686357,4.331712204929203e-4,0.5394899382826436
northerns,2006,0.4688188892818717,3.213814134546718e-4,0.5308597293046737
northerns,2007,0.477567958779704,2.383621617668741e-4,0.5221936790585292
northerns,2008,0.5271644560969064,3.5269304690501243e-4,0.4724828508561886
northerns,2009,0.5761856280946346,5.167278177609483e-4,0.42329764408760445
northerns,2010,0.6447992148641633,3.5617684719530175e-4,0.3548446082886414
northerns,2011,0.7079273074814749,2.4086384502401963e-4,0.2918318286735011
northerns,2012,0.7570757020771338,2.997091699810168e-4,0.2426245887528852
northerns,2013,0.8002543810198504,3.686095276404424e-4,0.19937700945250916
northerns,2014,0.8363857507118547,3.15059737402569e-4,0.16329918955074266
northerns,2015,0.8670666909320538,2.6710779953594514e-4,0.1326662012684103
northerns,2016,0.796415357595824,2.2655394052840383e-4,0.20335808846364756
northerns,2017,0.7010722314516614,1.8415888948169733e-4,0.29874360965885693
northerns,2018,0.6475968618630847,1.966161961306245e-4,0.3522065219407848
northerns,2019,0.5901464219494345,2.070899221286966e-4,0.4096464881284369
northerns,2020,0.5321370857398788,2.0357594687206543e-4,0.4676593383132491
northerns,2021,0.47324337127474136,1.973745833523193e-4,0.5265592541419063
northerns,2022,0.47324337127474136,1.973745833523193e-4,0.5265592541419063
