model_name,year,CENTRAL GOA,EASTERN GOA,WESTERN GOA
duskies,1990,0.927319972732939,0.0017316492595927631,0.07094837800746821
duskies,1991,0.9252104043831219,0.004002618697617107,0.07078697691926096
duskies,1992,0.9203598092491454,0.009224328298277984,0.0704158624525766
duskies,1993,0.9093154007998986,0.021113734039254407,0.06957086516084705
duskies,1994,0.8847194407637778,0.04759150781972525,0.06768905141649689
duskies,1995,0.8325481042674935,0.10375442415008186,0.06369747158242466
duskies,1996,0.7324800234132515,0.21147861965265283,0.05604135693409571
duskies,1997,0.7776727972828925,0.16552095065602618,0.05680625206108142
duskies,1998,0.8152302808147381,0.12791508065231502,0.05685463853294671
duskies,1999,0.8458405354488931,0.09783974734032769,0.056319717210779184
duskies,2000,0.8083004092989964,0.11686239782260373,0.07483719287839986
duskies,2001,0.7636799519816445,0.13800300716628186,0.09831704085207353
duskies,2002,0.7607052531075248,0.14796499351096992,0.09132975338150526
duskies,2003,0.7568133123450144,0.15845163709155646,0.08473505056342914
duskies,2004,0.7161206854626271,0.07679782796989287,0.20708148656748007
duskies,2005,0.5550051402857812,0.030486984836066624,0.41450787487815216
duskies,2006,0.7331974907640306,0.07001145984313407,0.19679104939283523
duskies,2007,0.7921133062875663,0.1314819590655584,0.07640473464687525
duskies,2008,0.7688700976868575,0.1872953421877623,0.04383456012538017
duskies,2009,0.7188082645727528,0.25696987693657936,0.024221858490667974
duskies,2010,0.7921602489586366,0.15975359123219202,0.048086159809171386
duskies,2011,0.8175849216111221,0.0930119795125982,0.0894030988762798
duskies,2012,0.7665705514775224,0.1697857857900224,0.06364366273245524
duskies,2013,0.6692324138465694,0.28858207295185717,0.042185513201573405
duskies,2014,0.8171349060727695,0.13833191152345736,0.04453318240377316
duskies,2015,0.8980051017090529,0.05968203917841598,0.042312859112531125
duskies,2016,0.8665251398686299,0.04843620438427567,0.0850386557470945
duskies,2017,0.7990982511335978,0.03756757851432828,0.16333417035207398
duskies,2018,0.8478832704330281,0.06472340705477064,0.08739332251220124
duskies,2019,0.8503950914887243,0.10540430056972208,0.044200607941553643
duskies,2020,0.9130930525898636,0.051616268116052626,0.03529067929408366
duskies,2021,0.948297800176743,0.024448391055058912,0.027253808768198
duskies,2022,0.948297800176743,0.024448391055058912,0.027253808768198
