model_name,year,CENTRAL GOA,EASTERN GOA,WESTERN GOA
northern,1984,0.34759717656434524,2.651107722244783e-4,0.6521377126634303
northern,1985,0.4273744143472158,5.557506923263547e-4,0.5720698349604579
northern,1986,0.5109211269198664,0.0011327803693494628,0.48794609271078415
northern,1987,0.5934120540868366,0.0022432029939634694,0.40434474291919986
northern,1988,0.6295710585881461,0.0023765732693292007,0.3680523681425247
northern,1989,0.6643005153754169,0.0025041785026680605,0.333195306121915
northern,1990,0.6973031648301182,0.0026249230152400192,0.30007191215464174
northern,1991,0.7454947759151103,0.0015523300408315363,0.25295289404405824
northern,1992,0.7882143794343096,9.078797601234076e-4,0.2108777408055671
northern,1993,0.8253642664585694,5.258648789091266e-4,0.17410986866252148
northern,1994,0.7993053624826523,7.729143423179715e-4,0.19992172317502974
northern,1995,0.7703979303532805,0.0011306387937544812,0.22847143085296492
northern,1996,0.7386300458545355,0.0016452271989658089,0.25972472694649873
northern,1997,0.739114596977064,0.0011942352457311475,0.25969116777720475
northern,1998,0.7395078049067906,8.667623958078767e-4,0.25962543269740146
northern,1999,0.7398346201900262,6.290296887902451e-4,0.2595363501211836
northern,2000,0.7126897944650997,3.7206410354092336e-4,0.28693814143135943
northern,2001,0.6838097849241693,2.1919633125674296e-4,0.31597101874457384
northern,2002,0.7731865426487762,1.855737291500241e-4,0.22662788362207373
northern,2003,0.8430933353554567,1.5151028091575874e-4,0.15675515436362755
northern,2004,0.6815057995539848,2.8032857366820765e-4,0.31821387187234695
northern,2005,0.460076890496864,4.3317122049292073e-4,0.5394899382826431
northern,2006,0.4688188892818721,3.2138141345467206e-4,0.5308597293046732
northern,2007,0.4775679587797044,2.3836216176687444e-4,0.5221936790585288
northern,2008,0.5271644560969064,3.5269304690501243e-4,0.4724828508561886
northern,2009,0.5761856280946346,5.167278177609483e-4,0.42329764408760445
northern,2010,0.6447992148641633,3.5617684719530175e-4,0.3548446082886414
northern,2011,0.7079273074814749,2.4086384502401974e-4,0.2918318286735011
northern,2012,0.757075702077134,2.997091699810164e-4,0.24262458875288487
northern,2013,0.8002543810198507,3.686095276404416e-4,0.19937700945250889
northern,2014,0.8363857507118547,3.150597374025688e-4,0.16329918955074266
northern,2015,0.8670666909320536,2.671077995359454e-4,0.1326662012684105
northern,2016,0.796415357595824,2.2655394052840383e-4,0.20335808846364756
northern,2017,0.7010722314516614,1.8415888948169733e-4,0.29874360965885693
northern,2018,0.6475968618630847,1.966161961306245e-4,0.3522065219407848
northern,2019,0.5901464219494345,2.070899221286966e-4,0.4096464881284369
northern,2020,0.5321370857398788,2.0357594687206543e-4,0.4676593383132491
northern,2021,0.473243371274741,1.9737458335231946e-4,0.5265592541419069
northern,2022,0.473243371274741,1.9737458335231946e-4,0.5265592541419069
