model_name,year,CENTRAL GOA,EASTERN GOA,WESTERN GOA
dusky,1984,0.5481800807884797,0.33393114999119616,0.11788876922032414
dusky,1985,0.5195554237784127,0.34404150740558753,0.13640306881599978
dusky,1986,0.49011777308071286,0.35279684032202824,0.15708538659725896
dusky,1987,0.4600355720691276,0.35996553934264264,0.17999888858822974
dusky,1988,0.5382262167466849,0.313198920363807,0.14857486288950808
dusky,1989,0.6144368694018895,0.2659001438005153,0.11966298679759524
dusky,1990,0.6852930024998377,0.2205481900873787,0.09415880741278361
dusky,1991,0.6783755568597664,0.20841514707734052,0.11320929606289315
dusky,1992,0.6684586066463591,0.19604938970699823,0.13549200364664257
dusky,1993,0.655237125050228,0.18345153868059813,0.16131133626917382
dusky,1994,0.6766769824546172,0.2009206036919337,0.12240241385344905
dusky,1995,0.6907026170533834,0.21749755529786782,0.0917998276487488
dusky,1996,0.6985161033763034,0.23327054753211413,0.06821334909158244
dusky,1997,0.7464551950126498,0.1875537526252573,0.06599105236209282
dusky,1998,0.787974823956002,0.14896110391751438,0.06306407212648354
dusky,1999,0.8232581292845466,0.1170941221837817,0.05964774853167183
dusky,2000,0.7946104118181455,0.12745116459075073,0.07793842359110367
dusky,2001,0.7612337968554089,0.1376886392913614,0.10107756385322975
dusky,2002,0.7686986932252516,0.1349619326283934,0.09633937414635498
dusky,2003,0.7759657383504313,0.1322430299843494,0.09179123166521938
dusky,2004,0.7214383081416483,0.07411713153043026,0.2044445603279215
dusky,2005,0.5744443333677073,0.03557595043225609,0.38997971620003663
dusky,2006,0.7380015376327297,0.07240840508710014,0.18959005728017012
dusky,2007,0.7983077438710153,0.12408669291745968,0.07760556321152492
dusky,2008,0.7927186911806607,0.16103176773674185,0.046249541082597455
dusky,2009,0.7689386141269692,0.20413699936288193,0.02692438651014879
dusky,2010,0.804430972503136,0.14782801657093206,0.047741010925931894
dusky,2011,0.8144683910372809,0.1036048558600065,0.08192675310271258
dusky,2012,0.7942692484264072,0.14258633236053223,0.06314441921306059
dusky,2013,0.7597753566990971,0.19248621204728641,0.04773843125361651
dusky,2014,0.8371704463818079,0.11599913306224921,0.04683042055594288
dusky,2015,0.8884276530138012,0.06732701416602475,0.04424533282017405
dusky,2016,0.862706025275824,0.05324457479771906,0.084049399926457
dusky,2017,0.8058970812238433,0.040507679011094984,0.1535952397650617
dusky,2018,0.8541483594015205,0.06103520519525899,0.08481643540322059
dusky,2019,0.8670598794384515,0.08808166385319247,0.04485845670835602
dusky,2020,0.9147467264081848,0.05013555429785335,0.03511771929396192
dusky,2021,0.9451280101080458,0.027947574932877608,0.026924414959076545
dusky,2022,0.9451280101080458,0.027947574932877608,0.026924414959076545
